data_envio	estado	cidade	endereco	data_ocorrencia	forma	vitima	tipo	transfobia_quem	homofobia_quem	lesbofobia_quem	descricao	geocode_address	latitude	longitude
03/03/2016 16:48:17	São Paulo	São Paulo	Rua Sergipe, Higienopolis	26/09/2008	Violência verbal	Eu fui a vítima	Homofobia		Gay		Eu e meu namorado estávamos no carro quando a polícia chegou de forma bastante desproporcional. Foi bastante coercitiva e queriam nos levar para a delegacia por suposto atentado ao pudor. Falaram que nunca mais deveríamos nos beijar em público, porque se eles vissem novamente nosso fim seria diferente 	Rua Sergipe, Higienopolis São Paulo São Paulo	-23.5479437	-46.6578414
03/03/2016 12:30:42	Rio Grande do Sul	Porto Alegre	Cidade Baixa	19/02/2016	Violência verbal	Eu fui a vítima	Homofobia				Grupo de homens gritando "sapatão", "volta para casa" etc. para casal gay.	Cidade Baixa Porto Alegre Rio Grande do Sul	-30.0401989	-51.2226127
03/03/2016 12:49:50	Minas Gerais	Juiz de Fora	Rua José Lourenço Kelmer	25/02/2015	Discriminação	Eu fui a vítima	Homofobia				Eu e um amigo estávamos entrando no ônibus e o motorista, a partir do modo como conversávamos, começou a nos diminuir perante aos passageiros, chamando-nos de menininhas etc (não que eu acha um insulto ser comparado as deusas, mas foi de uma maneira nojenta e vexatória).	Rua José Lourenço Kelmer Juiz de Fora Minas Gerais	-21.7669866	-43.3678531
03/03/2016 12:53:30	Rio Grande do Sul	Porto Alegre	Cidade Baixa	27/02/2016	Discriminação	Eu fui a vítima	Homofobia				Eu e meu amigo (ambos gays) estávamos andando com roupas parecidas. Dois desconhecidos nos seguiram e comentaram em tom de zombaria que se tínhamos a "mesma roupa" era porque éramos um casal.	Cidade Baixa Porto Alegre Rio Grande do Sul	-30.0401989	-51.2226127
03/03/2016 12:59:29	Santa Catarina	Florianópolis	Costeira	01/01/2012	Violência física	Eu fui a vítima	Homofobia				Eu estava com meu namorado voltando de transporte coletivo pra casa logo após o show de fogos na Avenida Beira-mar. O ônibus estava lotado. Ao meu lado estava sentada uma mulher com vários objetos que ela tinha levado e em pé estava meu namorado. Eu e meu namorado conversamos pouco durante a viagem, não tivemos nem trocas de carinho. Quando nos aproximamos do ponto dela, ela começou a sair do lugar dela, tentei dar espaço e inclusive ajudei ela a tirar as coisas dela que estavam entre os bancos. Logo após ela sair eu disse "espero não nós encontrarmos em um ônibus lotado assim novamente". Ela não gostou que eu conversei com ela e começou a gritar "você está tirando uma onda com minha cara seu viadinho?" e me deu um tapa. Eu disse pra ela sair logo e me deixar em paz, ela gritava sem parar me ofendendo com palavrões. No mesmo momento o marido dela sai do fundo do ônibus empurrando todos os passageiros e veio em minha direção me dando socos. Meu namorado tenta me proteger, mas outro homem que estava dentro do ônibus se juntou a eles e começou a me agredir. Alguns passageiros pediram pra eles saírem do ônibus, e aos poucos a situação se acalmou. Porém, antes do ônibus sair os dois homens que me agrediram começaram subir no ônibus pela janela  e forçaram até conseguir arrancar a janela de saída de emergência. Enquanto isso a mulher atirava pedras no ônibus. O motorista, negligente, demorou para sair do local e parou o ônibus 200m do local onde estávamos. A polícia foi chamada, mas não compareceu e o ônibus seguiu viagem sem proteção. Após descermos na nossa parada, nos escondemos em uma casa abandonada até que apareceu o proprietário do local...contamos o que aconteceu e ele nos levou até próximo de nossa casa. 	Costeira Florianópolis Santa Catarina	-27.6349915	-48.5219457
03/03/2016 13:08:18	Paraná	Curitiba	Centro de Curitiba, Rua Carlos Cavalcantti	25/06/2015	Violência física	Eu fui a vítima	Homofobia		Gay	Lésbica	21h. Quinta-feira. Eu saí do teatro "Novelas Curitibanas" que fica na Rua Carlos Cavalcatti. Eu estava sozinho, descia a rua rumo a Avenida Cândido de Abreu, uma das maiores e mais movimentadas da cidade. Um grupo de cinco homens me cercou. Fui xingado de todas as nomenclaturas existentes para designar um "homossexual". Me bateram e, antes que o pior acontecesse, consegui fugir. Corri como nunca havia corrido antes, até chegar na Praça Tiradentes, o ponto zero de Curitiba. Chorei como se experimentasse a violência pela primeira vez. Mas eu estava bem longe disso. Talvez seja importante registrar: esse foi o episódio mais recente e o mais violento que vivi, mas a população LGBT está habituada a conviver com a violência diária, frequente e de diferentes modos. Acho muito interessante o trabalho proposto, mas acho também necessário dizer que não há uma só localidade no país em que um indivíduo LGBT não é hostilizado e violentado. É importante mapear para que a expressividade seja numérica, mas é igualmente necessário ter consciência de que o mapa da violência contra a comunidade LGBT compreende todo o território. A agressão verbal, por exemplo, que vocês incluem como uma das possíveis formas de violência é contínua, é diária, e se faz presente em quase todos os lugares (nas devidas proporções, evidentemente. São vários os níveis e as intensidades). Parabéns! 	Centro de Curitiba, Rua Carlos Cavalcantti Curitiba Paraná	-25.4257053	-49.2720976
03/03/2016 13:09:26	Rio Grande do Sul	Três de Maio		25/06/2008	Violência verbal	Eu fui a vítima	Lesbofobia			Lésbica	Colegas de escola proferindo ofensas, chamando de sapatão e dizendo que não iriam conviver com uma colega lésbica.	 Três de Maio Rio Grande do Sul	-27.7841041	-54.2344607
03/03/2016 13:10:46	Santa Catarina	Palhoça 		02/02/2016	Violência verbal	Eu fui a vítima	Homofobia		Gay	Lésbica	Assédio moral no trabalho.	 Palhoça  Santa Catarina	-27.6460201	-48.6701406
03/03/2016 13:13:54	Santa Catarina	Jaraguá do Sul	Rua João Planincheck, nova Brasilia	02/05/2014	Discriminação	Eu fui a vítima	Homofobia		Gay	Lésbica	Durante o início do show da banda Raimundos, num evento universitário na cidade de Jaraguá do Sul, dois seguranças da casa repreenderam e separaram casal gay que se beijava com socos, para afastá-los, conduzindo-os pra fora da casa noturna, afirmando que o local não aceitava esse tipo de coisa. Depois da confusão causada pela reação dos amigos do casal ao redor, o vocalista da banda parou o show para ser informado sobre o ocorrido. O cantor convidou o palco para um beijo no palco. Os convidados repreenderam a equipe de segurança.	Rua João Planincheck, nova Brasilia Jaraguá do Sul Santa Catarina	-26.4885295	-49.0918858
03/03/2016 13:15:27	São Paulo	Campinas	Zin Bar - Rua Doutor Oswaldo Cruz, 586	20/05/2012	Discriminação	Eu fui a vítima	Lesbofobia			Lésbica	Eu estava com a minha ex namorada confraternizando com amigos. Atrás de nós havia uma mesa de sinuca com casais heterossexuais demonstrando diversas carícias e beijos intensos. Eu dei apenas um selinho na minha namorada. Um funcionário pediu para que não fizéssemos mais aquilo pois era um ambiente familiar e não era da política da casa compactuar com esse tipo de promiscuidade. Por azar dele, estávamos confraternizando com toda a turma de Direito da faculdade e professores da minha ex namorada, que colocaram o funcionário no lugar dele e exigiram que nos pedisse desculpas.	Zin Bar - Rua Doutor Oswaldo Cruz, 586 Campinas São Paulo	-22.9099384	-47.0626332
03/03/2016 13:34:52	Paraíba	João Pessoa		26/02/2016	Discriminação	Eu fui a vítima	Homofobia		Gay	Lésbica	Sofri discriminação em sala de aula.	 João Pessoa Paraíba	-7.119495799999999	-34.8450118
03/03/2016 13:42:57	Rio Grande do Sul	porto alegre	cidade baixa	01/03/2016	Violência verbal	Eu presenciei	Lesbofobia			Lésbica	Duas meninas namoravam e trocavam carinhos a uns 10 mentros de onde eu me encontrava. Nesse momento, alguns jovens dentro de um carro (acredito que eram 2 "pessoas", mas poderiam haver mais, dentro do carro) pararam o veículo e começaram a dirigir ofenças graves ao casal de lesbicas.	cidade baixa porto alegre Rio Grande do Sul	-30.0401989	-51.2226127
03/03/2016 13:43:34	Minas Gerais	Belo Horizonte	Perto do Parque Municipal	20/07/2015	Discriminação	Eu fui a vítima	Lesbofobia			Lésbica	Fui agredida verbalmente enquanto passeava com a minha namorada abraçadas.	Perto do Parque Municipal Belo Horizonte Minas Gerais	-19.9166813	-43.9344931
03/03/2016 13:44:55	Minas Gerais	Juiz de Fora	Avenida Rio Branco, Centro	01/06/2014	Violência verbal	Eu fui a vítima	Homofobia		Gay	Lésbica	Apenas andando pela rua, vários carros gritam "viado", "filho da puta", "ai, ai, ai".	Avenida Rio Branco, Centro Juiz de Fora Minas Gerais	-21.7547436	-43.3512928
03/03/2016 13:45:08	São Paulo	Guarulhos	Estrada do Caminho Velho número 333	21/03/2016	Violência física	Eu fui a vítima	Lesbofobia			Lésbica	Fui atacada por um colega de universidade que nao aceitava o fato da ex dele ficar comigo.	Estrada do Caminho Velho número 333 Guarulhos São Paulo	-23.4401708	-46.404489
03/03/2016 13:48:12	Rio de Janeiro	Rio de Janeiro	Jacarepaguá	11/12/2015	Violência verbal	Eu fui a vítima	Homofobia		Gay	Lésbica	"Esse é um ambiente de família, tem crianças olhando". Comentário de uma mulher num bar para eu e namorada.	Jacarepaguá Rio de Janeiro Rio de Janeiro	-22.9681736	-43.3907025
03/03/2016 13:57:06	São Paulo	Ubatuba		22/08/2015	Violência verbal	Eu fui a vítima	Lesbofobia			Lésbica	Nós estávamos num bar e um grupo de homens começou a se reunir e a nos hostilizar com obscenidades e xingamentos.	 Ubatuba São Paulo	-23.4336578	-45.0838481
03/03/2016 13:59:21	São Paulo	Guaratinguetá		18/06/2010	Violência física	Eu presenciei	Homofobia		Gay		Um grupo de meninos encurralou um amigo e o agrediu com ponta-pés e socos nas costas. Eu fui ajudá-lo e acabei apanhando também. Era uma festa junina de colégio.	 Guaratinguetá São Paulo	-22.8080266	-45.1942201
03/03/2016 20:54:44	São Paulo	São Paulo	Avenida Paulista	02/03/2016	Discriminação	Eu presenciei	Homofobia		Gay		Xingamentos	Avenida Paulista São Paulo São Paulo	-23.563108	-46.6544301
03/03/2016 20:58:32	São Paulo	São Paulo		25/03/2016	Violência verbal	Eu fui a vítima	Bifobia				Deslegitimização de pessoa bissexual	 São Paulo São Paulo	-23.5505199	-46.63330939999999
03/03/2016 14:08:14	Paraná	Curitiba	Largo da Ordem	01/05/2008	Ameaça	Eu fui a vítima	Lesbofobia			Lésbica	Estava com minha namorada no Largo da Ordem e passou um skinhead ameaçando nós duas, dizendo que não podíamos fazer isso ali. 	Largo da Ordem Curitiba Paraná	-25.4278278	-49.272183
03/03/2016 14:11:00	Paraná	Curitiba	Frente do Shopping Muller	01/05/2008	Ameaça	Eu fui a vítima	Lesbofobia			Lésbica	Um grupo de skinheads ameaçou eu e minha namorada, só não apanhamos porque um deles falou: "deixa que é mulher". 	Frente do Shopping Muller Curitiba Paraná	-25.4289541	-49.267137
03/03/2016 21:00:06	São Paulo	São Paulo	Av. Imirim, 1424 (Dentro do Colégio Consolata)	10/10/2016	Violência física	Eu fui a vítima	Homofobia		Gay		Um aluno me jogou no chão e me chutou.	Av. Imirim, 1424 (Dentro do Colégio Consolata) São Paulo São Paulo	-23.5505199	-46.63330939999999
03/03/2016 14:27:47	Distrito Federal	Brasilia 	SCRN 706/707 - Bloco B	26/11/2015	Violência física	Eu fui a vítima	Transfobia	Mulher trans			Fui violentada por 5 garotos que tinham entre 18 e 20 anos. Além da violência física, sofri diversas violências verbais. 	SCRN 706/707 - Bloco B Brasilia  Distrito Federal	-15.7698595	-47.8922418
03/03/2016 14:30:28	Rio Grande do Sul	Porto Alegre		05/04/2015	Discriminação	Eu fui a vítima	Homofobia		Gay		Estava andando pela rua e homens que passavam de carro gritavam "bixinha" para mim em tom de ódio, fiquei com medo que eles descessem do carro e resolvessem fazer algo pior contra mim, como me bater!	 Porto Alegre Rio Grande do Sul	-30.0346471	-51.2176584
03/03/2016 14:31:04	Minas Gerais	Itajuba		25/09/2015	Discriminação	Eu fui a vítima	Homofobia		Gay		Desenharam dois órgãos sexuais masculinos e me deram para escolher qual queria.	 Itajuba Minas Gerais	-22.422971	-45.4602511
03/03/2016 14:33:42	Minas Gerais	Montes Claros		06/01/2015	Violência verbal	Eu fui a vítima	Lesbofobia			Lésbica	Estava com minha namorada esperando ônibus e um homem em um carro parou e começou a encarar e falar coisas obscenas. Nós falamos para ele sair do local e nos deixar em paz e o homem começou a nos ofender, andou um pouco com o carro, depois voltou de ré e nos ameaçou dizendo que se não saíssemos de lá ele iria voltar e nos matar. 	 Montes Claros Minas Gerais	-16.7286406	-43.8582139
03/03/2016 14:35:22	Rio Grande do Sul	Porto Alegre 	Praça Brigadeiro Sampaio 	20/02/2016	Violência verbal	Eu presenciei	Transfobia	Mulher trans			Ao passar em frente a um prédio ela gritava do portão para um senhor, que discrimina-la era crime. 	Praça Brigadeiro Sampaio  Porto Alegre  Rio Grande do Sul	-30.0326281	-51.2386408
03/03/2016 21:27:55	São Paulo	São Paulo 		06/12/2015	Discriminação	Eu presenciei	Homofobia		Gay		Retratou os homossexuais como "monstros".	 São Paulo  São Paulo	-23.5505199	-46.63330939999999
03/03/2016 14:37:02	São Paulo	Presidente Prudente	R. Da. Militânia, nº 4, Vila Santa Helena.	06/03/2015	Violência física	Eu fui a vítima	Homofobia		Gay		Existe uma festa famosa promovida pela Unesp aqui de Presidente Prudente/SP, conhecida como "Balance". Foi a primeira, e última, vez em que eu fui. Estava do lado de fora conversando com o meu namorado quando começamos a receber um ataque com pedras de gelo junto com agressões verbais de um grupinho de babacas. Os seguranças do local se limitaram a apenas observar.  	R. Da. Militânia, nº 4, Vila Santa Helena. Presidente Prudente São Paulo	-22.1164416	-51.40063379999999
03/03/2016 14:37:26	Rio Grande do Sul	Porto Alegre	Cidade Baixa	20/02/2016	Discriminação	Eu fui a vítima	Lesbofobia			Lésbica	Eu e minha namorada fomos xingadas e assediadas por homens que estavam na rua quando passamos de mãos dadas.	Cidade Baixa Porto Alegre Rio Grande do Sul	-30.0401989	-51.2226127
03/03/2016 14:37:50	Minas Gerais	Belo Horizonte 	Praça da Estação 	23/12/2015	Discriminação	Eu fui a vítima	Homofobia		Gay		Andávamos de mãos dadas, eu e meu ficante e simplesmente ouvimos uns xingamentos de um cidadão. 	Praça da Estação  Belo Horizonte  Minas Gerais	-19.9549677	-44.0106389
03/03/2016 14:40:17	Minas Gerais	Belo Horizonte	Coração Eucaristico	01/12/2013	Discriminação	Eu fui a vítima	Homofobia		Gay		Em uma discussão de casal, o cara entrou para brigar contra nós dois.	Coração Eucaristico Belo Horizonte Minas Gerais	-19.9251669	-43.98836319999999
03/03/2016 21:29:02	São Paulo	São Paulo	Av. Europa	09/02/2016	Violência verbal	Eu fui a vítima	Bifobia				Eu estava voltando de uma exposição com o minha namorada e um garoto no qual nós dois mantínhamos relação, eu estava de mão dada a minha namorada quando beijei o garoto, e um homem que estava de moto parado no semáforo começou a dizer várias palavras ódio contra nós três e nós ameaçou, começou a dizer nós mereciamos apanhar.	Av. Europa São Paulo São Paulo	-23.5752445	-46.67805569999999
03/03/2016 14:43:14	Goiás	Goiânia	Bar 20 Buscar, à rua 55 com rua 72, Setor Central.	15/10/2008	Discriminação	Eu fui a vítima	Lesbofobia			Lésbica	O dono do bar pediu para que o grupo do qual eu fazia parte se comportasse, sugerindo que o comportamento homossexual agredia os outros clientes.	Bar 20 Buscar, à rua 55 com rua 72, Setor Central. Goiânia Goiás	-16.6678206	-49.2614549
03/03/2016 21:45:54	São Paulo	são paulo		02/03/2015	Violência verbal	Eu fui a vítima	Lesbofobia			Lésbica	Eu estava com minha namorada na estação república quando um homem começou a encarar a gente e depois começou a gritas falando que a gnt precisava tomar vergonha na cara e construir uma família. Outra vez estávamos no bar e o dono do bar pediu para que a gnete não se beijasse mais, pq alí tinha família. e outra vez estávamos no trem quando uma senhora viu que estávamos de mãos dadas e disse "jesus ama vocês".	 são paulo São Paulo	-23.5505199	-46.63330939999999
03/03/2016 14:45:13	Minas Gerais	belo horizonte	Praça da Estação	06/02/2015	Violência física	Eu presenciei	Homofobia		Gay		Jogaram garrafas de cerveja em um amigo meu.	Praça da Estação belo horizonte Minas Gerais	-19.9549677	-44.0106389
03/03/2016 14:46:14	Goiás	Goiânia	Bar do Gaúcho, rua 20 com rua 21, setor Central	20/10/2015	Discriminação	Eu presenciei	Homofobia		Gay		Uma cliente do bar, ao perceber a presença de homossexuais, discursou em voz alta que o centro da cidade de Goiânia estava sendo tomado por gays e que os moradores precisavam fazer algo pra acabar com isso.	Bar do Gaúcho, rua 20 com rua 21, setor Central Goiânia Goiás	-16.6757474	-49.2518943
03/03/2016 14:46:28	Minas Gerais	Montes Claros	Shopping Montes Claros	03/01/2016	Discriminação	Eu fui a vítima	Lesbofobia			Lésbica	Eu estava com minha namorada na parte externa do shopping center apenas conversando e nos abraçando as vezes, quando a segurança do shopping nos abordou de forma preconceituosa indagando se iríamos mesmo continuar ali "ao ar livre" daquele jeito e começou todo um discurso de que as pessoas do shopping poderiam se importar, que aquilo não era adequado e etc. Ainda disse que não era discriminação, mas afirmou que se fosse um casal heterossexual que estivesse na mesma situação  não haveria problema algum. Ao final, a segurança pediu reforço a um outro segurança que chegou no local onde estávamos e ficou nos olhando até sairmos do local. 	Shopping Montes Claros Montes Claros Minas Gerais	-16.7286406	-43.8582139
03/03/2016 14:46:40	Santa Catarina	Campos Novos	Escola, rua e em todos os locais onde tenha concentração de pessoas 	01/08/2007	Discriminação	Eu fui a vítima	Homofobia		Gay		Durante toda minha infância, na escola, na rua, com 'amigos' no ônibus escolar. Na adolescencia, com a família....enfim...É triste morar em uma cidade pequena, conservadora, racista, Lgtfóbica. Só que passa sabe....	Escola, rua e em todos os locais onde tenha concentração de pessoas  Campos Novos Santa Catarina	-27.4009891	-51.2258597
03/03/2016 22:57:36	São Paulo	São Paulo	Centro	19/02/2016	Violência verbal	Eu fui a vítima	Homofobia		Gay		Estava de mãos dadas com meu namorado na Paulista e fui abordado verbalmente sobre esta atitude.	Centro São Paulo São Paulo	-23.5406338	-46.6320967
04/03/2016 00:02:58	São Paulo	São Paulo	Avenida Paulista	06/02/2016	Violência física	Eu presenciei	Lesbofobia			Lésbica	Durante um bloco de carnaval sobre a diversidade sexual, uma mulher que não se identificou agrediu um casal de lésbicas ao meu lado. Por sorte, ninguém se feriu.	Avenida Paulista São Paulo São Paulo	-23.563108	-46.6544301
04/03/2016 00:47:05	São Paulo	São Paulo		22/11/2013	Discriminação	Eu fui a vítima	Homofobia		Gay		Ofenças por orientação sexual.	 São Paulo São Paulo	-23.5505199	-46.63330939999999
03/03/2016 14:56:26	São Paulo	Rio Claro	Rua 10b, Belavista	01/05/2015	Ameaça	Eu fui a vítima	Lesbofobia			Lésbica	Voltávamos do mercado, a pé e de mãos dadas, quando um sujeito, antes de estacionar o carro, o acelera e avança em nossa direção, olhando fixamente para nós. Depois, ele estaciona o carro mas não desce, continua nos encarando. Por sorte estávamos já na rua de casa. Ele era um vizinho.	Rua 10b, Belavista Rio Claro São Paulo	-22.3984568	-47.5720209
04/03/2016 01:04:22	São Paulo	São Paulo	Tatuapé	02/11/2014	Violência verbal	Eu fui a vítima	Homofobia		Gay		Um grupo parou eu e alguns amigos para nos hostilizar	Tatuapé São Paulo São Paulo	-23.5352452	-46.575463
04/03/2016 07:26:31	São Paulo	São Paulo 	rua Isabel shimitd	15/05/2015	Violência física	Eu presenciei	Homofobia		Gay		Agressão chamando um homossexual de afeminada	rua Isabel shimitd São Paulo  São Paulo	-23.6511665	-46.7037553
03/03/2016 15:01:39	Pernambuco	Caruaru	HEMOPE 	14/08/2013	Discriminação	Eu fui a vítima	Homofobia		Gay		Eu fui doar sangue, na época, com 19 anos, não sabia que não podia ser gay e doar. Foi a primeira vez que tive coragem de dizer quem eu era, e na entrevista, quando a médica perguntou se eu tinha múltiplas parceiras eu falei que não, que tinha um só parceiro. Ela mudou completamente o tom e disse que eu não podia doar sangue porque eu era gay e isso tava na lei. Quando saí da sala e a enfermeira foi me guiar até a sala que coleta ela começou a falar alto para todos que estavam na sala ouvirem: "Ele não pode doar sangue porque ele é gay, e gay não doa sangue." Saí com a cabeça baixa e só consegui ligar para uma amiga e chorar.	HEMOPE  Caruaru Pernambuco	-8.2849639	-35.9701874
04/03/2016 17:48:47	São Paulo	São Paulo	Jabaquara	29/09/2015	Assassinato	Eu presenciei	Homofobia		Gay		O monstro matou não 1 mas 6 pessoas. E todos os 6 eram gays, tanto os homens como as mulheres assassinadas. Fizeram reportagens mas em nenhuma levaram em conta a sexualidade das vitimas. 	Jabaquara São Paulo São Paulo	-23.6364964	-46.645191
03/03/2016 15:07:18	Rio Grande do Sul	Porto Alegre	Cidade Baixa	29/02/2016	Discriminação	Eu fui a vítima	Homofobia		Gay		Na presente data, fui expulso de um bar por estar abraçado a um amigo, que também é gay. Fui tratado com muita grosseria e agressividade. Acabei optando por deixar o bar e não voltar mais.	Cidade Baixa Porto Alegre Rio Grande do Sul	-30.0401989	-51.2226127
03/03/2016 15:09:35	Acre	Rio Branco	R. Alexandre Farhat, 132, Ipase (Ao lado da CUT), Rio Branco, AC, 69900-360, Brazil	15/08/2015	Violência verbal	Eu fui a vítima	Homofobia		Gay		Agredido verbalmente	R. Alexandre Farhat, 132, Ipase (Ao lado da CUT), Rio Branco, AC, 69900-360, Brazil Rio Branco Acre	-9.971303299999999	-67.80116869999999
